source_variable,source_label,target_field,target_code,target_term,mapped_in_entities,ontology_verification_status
gastro_haemo,Gastrointestinal haemorrhage,"phenotype_code, phenotype_term",HP:0002239,Gastrointestinal hemorrhage,phenotype,Confirmed | Match
pancreatitis,Pancreatitis,"phenotype_code, phenotype_term",HP:0001733,Pancreatitis,phenotype,Confirmed | Match
liver_dysf,Liver dysfunction,"phenotype_code, phenotype_term",HP:0001410,Decreased liver function,phenotype,would NCIT_C50634 be a better fit? | Match
hyperglycemia,Hyperglycemia,"phenotype_code, phenotype_term",HP:0003074,Hyperglycemia,phenotype,Confirmed | Match
hypoglycemia,Hypoglycemia,"phenotype_code, phenotype_term",HP:0001943,Hypoglycemia,phenotype,Confirmed | Match
inflam_syndrom,Inflammatory syndrome/Kawasaki disease like,"phenotype_code, phenotype_term",HP:0012647,Abnormal inflammatory response,phenotype,Confirmed | Match
comp_other,Other complications,"phenotype_code, phenotype_term",HP:0025142,Constitutional symptom,phenotype,Confirmed | Match
comp_other_desc,Please specify other complication(s),phenotype_note,,,phenotype,
complications_complete,Complete?,,,,,
lab_date,Date of assessment,age_at_measurement,,,measurement,
lab_haemoglobin,Haemoglobin,"measurement_code, measurement_term",LOINC:718-7,Hemoglobin [Mass/volume] in Blood,measurement,confirmed | Match
lab_haemoglobin_result,Haemoglobin result,measurement_result_numeric,,,measurement,
lab_haemoglobin_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_wbc,WBC count,"measurement_code, measurement_term",LOINC:6690-2,Leukocytes [#/volume] in Blood by Automated count,measurement,confirmed | Match
lab_wbc_result,WBC count result,measurement_result_numeric,,,measurement,
lab_wbc_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_lymphocyte,Lymphocyte count,"measurement_code, measurement_term",LOINC:731-0,Lymphocytes [#/volume] in Blood by Automated count,measurement,confirmed | Match
lab_lymphocyte_result,Lymphocyte count result,measurement_result_numeric,,,measurement,
lab_neutrophil,Neutrophil count,"measurement_code, measurement_term",LOINC:751-8,Neutrophils [#/volume] in Blood by Automated count,measurement,confirmed | Match
lab_neutrophil_result,Neutrophil count result,measurement_result_numeric,,,measurement,
lab_haematocrit,Haematocrit,"measurement_code, measurement_term",LOINC:4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,measurement,confirmed | Match
lab_haematocrit_result,Haematocrit result,measurement_result_numeric,,,measurement,
lab_platelets,Platelets,"measurement_code, measurement_term",LOINC:777-3,Platelets [#/volume] in Blood by Automated count,measurement,confirmed | Match
lab_platelets_result,Platelets result,measurement_result_numeric,,,measurement,
lab_platelets_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
