source_variable,source_label,target_field,target_code,target_term,mapped_in_entities,ontology_verification_status
dob_year,Year of birth,dob_year,,,sociodemographic,
birth_country,Country of birth,birth_country,,,sociodemographic,
birth_place,Place of birth,birth_place,,,sociodemographic,
ancestry,Ancestry,ancestry,,,sociodemographic,
education,Highest education level achieved,education,,,sociodemographic,
height,Height (cm),height_cm,,,sociodemographic,
height_unk____1,(choice=Dont know),,,,,
weight,Weight (Kg),weight_kg,,,sociodemographic,
weight_unk____1,(choice=Dont know),,,,,
employment,Employment,employment_status,,,sociodemographic,
employment_other,Specify other employment,employment_other,,,sociodemographic,
residence_type,Type of residence,residence_type,,,sociodemographic,
residence_type_other,Specify other residence,residence_type_other,,,sociodemographic,
household,Number of other people in patient's household,household_size,,,sociodemographic,
household_age_1,Person #1 age,,,,,
household_relation_1,Person #1 relationship to patient,,,,,
household_covid_1,Person #1 COVID-19 status,,,,,
household_age_2,Person #2 age,,,,,
household_relation_2,Person #2 relationship to patient,,,,,
household_covid_2,Person #2 COVID-19 status,,,,,
household_age_3,Person #3 age,,,,,
household_relation_3,Person #3 relationship to patient,,,,,
household_covid_3,Person #3 COVID-19 status,,,,,
household_age_4,Person #4 age,,,,,
household_relation_4,Person #4 relationship to patient,,,,,
household_covid_4,Person #4 COVID-19 status,,,,,
household_age_5,Person #5 age,,,,,
household_relation_5,Person #5 relationship to patient,,,,,
household_covid_5,Person #5 COVID-19 status,,,,,
household_age_6,Person #6 age,,,,,
household_relation_6,Person #6 relationship to patient,,,,,
household_covid_6,Person #6 COVID-19 status,,,,,
household_age_7,Person #7 age,,,,,
household_relation_7,Person #7 relationship to patient,,,,,
household_covid_7,Person #7 COVID-19 status,,,,,
household_age_8,Person #8 age,,,,,
household_relation_8,Person #8 relationship to patient,,,,,
household_covid_8,Person #8 COVID-19 status,,,,,
household_age_9,Person #9 age,,,,,
household_relation_9,Person #9 relationship to patient,,,,,
household_covid_9,Person #9 COVID-19 status,,,,,
household_age_10,Person #10 age,,,,,
household_relation_10,Person #10 relationship to patient,,,,,
household_covid_10,Person #10 COVID-19 status,,,,,
household_age_11,Person #11 age,,,,,
household_relation_11,Person #11 relationship to patient,,,,,
household_covid_11,Person #11 COVID-19 status,,,,,
household_age_12,Person #12 age,,,,,
household_relation_12,Person #12 relationship to patient,,,,,
household_covid_12,Person #12 COVID-19 status,,,,,
household_age_13,Person #13 age,,,,,
household_relation_13,Person #13 relationship to patient,,,,,
household_covid_13,Person #13 COVID-19 status,,,,,
household_age_14,Person #14 age,,,,,
household_relation_14,Person #14 relationship to patient,,,,,
household_covid_14,Person #14 COVID-19 status,,,,,
household_age_15,Person #15 age,,,,,
household_relation_15,Person #15 relationship to patient,,,,,
household_covid_15,Person #15 COVID-19 status,,,,,
pregnancy,Currently pregnant,currently_pregnant,,,sociodemographic,
pregnancy_weeks,Gestational weeks,pregnancy_weeks,,,sociodemographic,
demographics_complete,Complete?,,,,,
com_hiv,HIV,"comorbidity_code, comorbidity_term",MONDO:0005109,HIV infection,comorbidity,confirmed | Match
com_immunocomp,Immunocompromised status,"comorbidity_code, comorbidity_term",icd10:D84.9,"Immunodeficiency, unspecified",comorbidity,"confirmed, deleted previous MONDO:0021094 (Immunodeficiency disorder) and replaced with icd10:D84.9 which is broader and aligns with a more general Immunocomprised status that can include immunocompromised not related to an immunodeficiency disorder. | Match"
com_immunocomp_time,Days from the onset of covid-19 symptoms to immuno-compromisation,age_at_comorbidity_diagnosis,,,comorbidity,
com_transplant,Organ transplant,"comorbidity_code, comorbidity_term",icd10:Z94.9,"Transplanted organ and tissue status, unspecified",comorbidity,"confirmed, Replaced MONDO:0700220 (disease related to transplantation) with icd10 code | Match"
com_transplant_type___1,Organ type of transplant (choice=Heart),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z94.1,Heart transplant status,comorbidity,this codes looks okay. Is there a reason the icd10 code (Z94.1 was not used)? | Match
com_transplant_type___2,Organ type of transplant (choice=Kidney),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z94.0,Kidney transplant status,comorbidity,this codes looks okay. Is there a reason the icd10 code (Z94.0 was not used)? | Match
com_transplant_type___3,Organ type of transplant (choice=Liver),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z94.4,Liver transplant status,comorbidity,code look okay. same Q as above about using icd10 code- Z94.4? | Match
com_transplant_type___4,Organ type of transplant (choice=Pancreas),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z94.83,Pancreas transplant status,comorbidity,code look okay. same Q as above about using icd10 code- Z94.83? | Match
com_transplant_type___5,Organ type of transplant (choice=Intestine),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z94.82,Intestine transplant status,comorbidity,code look okay. same Q as above about using icd10 code-Z94.82? | Match
com_transplant_type___6,Organ type of transplant (choice=Lung),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z94.2,Lung transplant status,comorbidity,code look okay. same Q as above about using icd10 code- Z94.2? | Match
com_transplant_type___7,Organ type of transplant (choice=Eye (Cornea)),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z94.7,Corneal transplant status,comorbidity,couldnt confirm an icd10 code | Match
com_transplant_type___8,Organ type of transplant (choice=Blood/bone marrow),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z94.81,Bone marrow transplant status,comorbidity,code look okay. same Q as above about using icd10 code- Z94.81? | Match
com_transplant_type___9,Organ type of transplant (choice=Blood vessel),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z95.828,Presence of other vascular implants and grafts,comorbidity,icd 10-Z95.828? | Match
com_transplant_type___10,Organ type of transplant (choice=Other),"comorbidity_code, comorbidity_term, comorbidity_source_text",icd10:Z94.9,"Transplanted organ and tissue status, unspecified",comorbidity,icd10 Z94.9? | Match
com_transplant_type_other,Specify other organ type of transplant,comorbidity_note,,,comorbidity,
com_autoimm_rheum,"Autoimmune or rheumatologic disease (e.g., rheumatoid arthritis, systemic lupus erythematosus, multiple sclerosis, inflammaory bowel disease)","comorbidity_code, comorbidity_term",MONDO:0007179,autoimmune disease,comorbidity,confirmed | Term mismatch
com_diabetes,Diabetes,"comorbidity_code, comorbidity_term",MONDO:0005015,diabetes mellitus,comorbidity,confirmed | Term mismatch
com_type_i_diabetes,Type I diabetes,"comorbidity_code, comorbidity_term",MONDO:0005147,type 1 diabetes mellitus,comorbidity,confirmed | Term mismatch
com_type_ii_diabetes,Type II diabetes,"comorbidity_code, comorbidity_term",MONDO:0005148,type 2 diabetes mellitus,comorbidity,confirmed | Term mismatch
com_asthma,Asthma,"comorbidity_code, comorbidity_term",MONDO:0004979,asthma,comorbidity,confirmed | Term mismatch
com_chronic_pulm,Chronic obstructive pulmonary disease (COPD),"comorbidity_code, comorbidity_term",MONDO:0005002,chronic obstructive pulmonary disease,comorbidity,confirmed | Term mismatch
com_cystic_fibrosis,Cystic Fibrosis,"comorbidity_code, comorbidity_term",MONDO:0009061,cystic fibrosis,comorbidity,confirmed | Term mismatch
com_sleep_apnea,Sleep Apnea,"comorbidity_code, comorbidity_term",MONDO:0005296,sleep apnea syndrome,comorbidity,confirmed | Term mismatch
com_sleep_cpap,Home CPAP (continuous positive airway pressure) device used at night,"comorbidity_note | comorbidity_treatment_status, comorbidity_note",,,comorbidity,
com_chronic_kidney,Chronic kidney disease,"comorbidity_code, comorbidity_term",MONDO:0005300,chronic kidney disease,comorbidity,confirmed | Term mismatch
com_liver,Liver disease,"comorbidity_code, comorbidity_term",MONDO:0005154,liver disorder,comorbidity,confirmed | Term mismatch
com_gallbl,Gallbladder disease,"comorbidity_code, comorbidity_term",MONDO:0005281,gallbladder disorder,comorbidity,confirmed | Term mismatch
com_pancreas,Pancreatic disease,"comorbidity_code, comorbidity_term",MONDO:0002356,pancreas disorder,comorbidity,confirmed | Term mismatch
com_gerd,Gastroesophageal reflux disease (GERD),"comorbidity_code, comorbidity_term",MONDO:0007186,gastroesophageal reflux disease,comorbidity,confirmed | Term mismatch
com_ibs,Irritable Bowel Syndrome (IBS),"comorbidity_code, comorbidity_term",MONDO:0005052,irritable bowel syndrome,comorbidity,confirmed | Term mismatch
com_lipids,"Lipid disorders (hypercholesterolemia, dyslipidemia, etc.)","comorbidity_code, comorbidity_term",icd10:E78,Disorders of lipoprotein metabolism and other lipidemias,comorbidity,"confirmed, deleted previous MONDO:0002525 as this was only for inherited disorders (too narrow) and used icd10:E78 code. This code has several sub-codes, is this ok to use for PCGL purposes? | Match"
com_bph,Benign Prostatic Hyperplasia,"comorbidity_code, comorbidity_term",MONDO:0010811,benign prostatic hyperplasia,comorbidity,added and confirmed | Match
com_pcos,Polycystic ovary syndrome (PCOS),"comorbidity_code, comorbidity_term",MONDO:0008487,polycystic ovary syndrome,comorbidity,confirmed | Term mismatch
com_angio,Balloon angioplasty or percutanuous coronary intervention,"comorbidity_code, comorbidity_term",icd10:Z98.61,Coronary angioplasty status,comorbidity,Maybe Z95.5 or z98.6? | Code mismatch
com_bypass,Coronary artery bypass,"comorbidity_code, comorbidity_term",icd10:Z95.1,Presence of aortocoronary bypass graft,comorbidity,confirmed | Match
com_heart_failure,Congestive heart failure,"comorbidity_code, comorbidity_term",MONDO:0005009,congestive heart failure,comorbidity,deleted previous MONDO:0005252 (Heart failure) and replaced with MONDO:0005009 | Match
com_hypertension,Hypertension,"comorbidity_code, comorbidity_term",MONDO:0005044,hypertensive disorder,comorbidity,confirmed | Term mismatch
com_mi,Myocardial infarction,"comorbidity_code, comorbidity_term",MONDO:0005068,myocardial infarction,comorbidity,confirmed | Term mismatch
com_infarction_type1,Myocardial infarction Type I,"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0005068,myocardial infarction,comorbidity,Need to verify
com_infarction_type2,Myocardial infarction Type II,"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0005068,myocardial infarction,comorbidity,Need to verify
com_vascular,Peripheral vascular disease,"comorbidity_code, comorbidity_term",MONDO:0005294,peripheral vascular disease,comorbidity,confirmed | Term mismatch
com_stroke,Stroke,"comorbidity_code, comorbidity_term",MONDO:0005098,stroke disorder,comorbidity,confirmed | Term mismatch
com_arrythmias,Arrythmias,"comorbidity_code, comorbidity_term",icd10:I49.9,"Cardiac arrhythmia, unspecified",comorbidity,added and confirmed | Match
com_anemia,Anemia,"comorbidity_code, comorbidity_term",MONDO:0002280,anemia,comorbidity,confirmed | Term mismatch
com_dementia,Dementia,"comorbidity_code, comorbidity_term",MONDO:0001627,dementia,comorbidity,confirmed | Term mismatch
com_neurological,Neurological or neuropsychiatric disease,"comorbidity_code, comorbidity_term",MONDO:0005071,nervous system disorder,comorbidity,confirmed | Term mismatch
com_cancer,Is the patient currently diagnosed with cancer?,"comorbidity_code, comorbidity_term",MONDO:0004992,cancer,comorbidity,confirmed | Term mismatch
com_cancer_age,Patient age at diagnosis,age_at_comorbidity_diagnosis,,,comorbidity,
com_leukemia,Leukemia,"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0005059,leukemia,comorbidity,confirmed | Term mismatch
com_lymphoma,Lymphoma,"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0005062,lymphoma,comorbidity,confirmed | Term mismatch
com_sarcoma,Sarcoma,"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0005089,sarcoma,comorbidity,confirmed | Term mismatch
com_carcinoma,Carcinoma,"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0004993,carcinoma,comorbidity,confirmed | Term mismatch
com_myeloma,Myeloma,"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0009693,plasma cell myeloma,comorbidity,confirmed | Term mismatch
com_cancer_mixedtypes,Mixed types,"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0004992,cancer,comorbidity,confirmed. need to mention mixedtype in extension/ comments | Term mismatch
com_cancer_location___0,Cancer location (choice=Skin),comorbidity_note,,,comorbidity,
com_cancer_location___1,Cancer location (choice=Lungs),comorbidity_note,,,comorbidity,
com_cancer_location___2,Cancer location (choice=Breast),comorbidity_note,,,comorbidity,
com_cancer_location___3,Cancer location (choice=Head and neck),comorbidity_note,,,comorbidity,
com_cancer_location___4,Cancer location (choice=Digestive/Gastrointestinal),comorbidity_note,,,comorbidity,
com_cancer_location___5,Cancer location (choice=Gynecologic),comorbidity_note,,,comorbidity,
com_cancer_location___6,"Cancer location (choice=Genitourinary (bladder, kidney, prostate, penile, testicular))",comorbidity_note,,,comorbidity,
com_cancer_location___7,Cancer location (choice=Eye),comorbidity_note,,,comorbidity,
com_cancer_location___8,Cancer location (choice=Musculoskeletal),comorbidity_note,,,comorbidity,
com_cancer_location___9,Cancer location (choice=Germ cell/CNS),comorbidity_note,,,comorbidity,
com_cancer_location___10,Cancer location (choice=Other),comorbidity_note,,,comorbidity,
com_cancer_location____1,Cancer location (choice=Dont know),comorbidity_note,,,comorbidity,
com_cancer_location_other,Specify other cancer location,comorbidity_note,,,comorbidity,
com_cancer_treatment___0,Cancer treatment in the past 12 months (please mark all that apply) (choice=Surgery),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment___1,Cancer treatment in the past 12 months (please mark all that apply) (choice=Chemotherapy),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment___2,Cancer treatment in the past 12 months (please mark all that apply) (choice=Radiation therapy),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment___3,Cancer treatment in the past 12 months (please mark all that apply) (choice=HSCT),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment___4,Cancer treatment in the past 12 months (please mark all that apply) (choice=Immunotherapy),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment___5,Cancer treatment in the past 12 months (please mark all that apply) (choice=Hormon therapy),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment___6,Cancer treatment in the past 12 months (please mark all that apply) (choice=Clinical trials),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment___7,Cancer treatment in the past 12 months (please mark all that apply) (choice=Other),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment___8,Cancer treatment in the past 12 months (please mark all that apply) (choice=None),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment____1,Cancer treatment in the past 12 months (please mark all that apply) (choice=Dont know),comorbidity_note | comorbidity_treatment_status,,,comorbidity,
com_cancer_treatment_other,Specify other cancer treatment,comorbidity_note,,,comorbidity,
com_other,Other comorbidities,"comorbidity_code, comorbidity_term | comorbidity_note",MONDO:0000001,disease,comorbidity,confirmed. need to mention 'other comorbidities' | Term mismatch | confirmed. need to mention 'other comorbidities' | Term mismatch
smoke_100,Has patient smoked at least 100 (tobacco) cigarettes in their entire life? (There are 20 cigarettes in a pack.),"exposure_code, exposure_term",snomedct:365981007,Finding of tobacco smoking behavior (finding),exposure,"confirmed, but we should also include icd10-CM:Z72.0 (Tobacco use) for those participants that selected 2=Smoked 100 cigarettes in a life time,and currently smoking in the HostSeq variable options. | Code and term mismatch"
smoke_quit_years,Years since quitting,exposure_note,,,exposure,
smoke_habit,How many cigarettes smoked daily (at present for current smokers or prior to quitting for past smokers)?,exposure_note,,,exposure,
tobacco_other,"Other forms and amount of current tobacco use (e.g., cigar, chew tobacco, shisha)",exposure_note,,,exposure,
vaping,Vaping,"exposure_code, exposure_term",snomedct:722499006,Electronic cigarette user,exposure,confirmed | Code and term mismatch
vaping_amount,Average number of cartilages per week,exposure_note,,,exposure,
vaping_amount_other,Other measurement of vaping use,exposure_note,,,exposure,
cannabis,Cannabis,"exposure_code, exposure_term",snomedct:398705004,Cannabis,exposure,"confirmed, deleted previous NCIT:C34445 (Cannabis dependence), as the HostSeq cannabis variable is yes/no on cannabis use. The participant is not necessarily dependent. | Code and term mismatch"
cannabis_amount,Average number of joints/bong per week,exposure_note,,,exposure,
cannabis_amount_other,Other measurement of cannabis use,exposure_note,,,exposure,
comorbidities_complete,Complete?,,,,,
er_visit,Patient seen in ER,er_visit,,,diagnosis,
triage_date,ER triage date at reporting facility,triage_date,,,diagnosis,
transfer_facility,Transfer from another facility,transfer_facility,,,diagnosis,
transfer_facility_name,Name of transfer facility,transfer_facility_name,,,diagnosis,
transfer_facility_date,ER triage date at transfer facility,transfer_facility_date,,,diagnosis,
transfer_facility_sourceid,Source study ID # from transfer facility,transfer_facility_sourceid,,,diagnosis,
transfer_facility_hostseqid,HostSeq study ID # from transfer facility,transfer_facility_hostseqid,,,diagnosis,
hospitalized,Patient hospitalized,hospitalized,,,diagnosis,
ambulatory_state,Ambulatory state,ambulatory_state,,,diagnosis,
date_admission,Date of admission,age_at_measurement | age_at_sociodem_collection | date_admission | sociodem_date_collection,,,"diagnosis, measurement, sociodemographic",
hospitalized_state,Hospitalized state,hospitalized_state,,,diagnosis,
vent_days,Total duration of invasive ventilation,vent_days,,,diagnosis,
who_covid19_severity,WHO COVID-19 severity scale,who_covid19_severity,,,diagnosis,
hgi_a2,"COVID-19 HGI phenotype A2 Case: Hospitalized laboratory confirmed SARS-CoV-2 infection (RNA and/or serology based) AND (death or respiratory support (intubation, CPAP, BiPAP, CNP (continue external negative pressure), Optiflow/very high flow Positive End Expiratory Pressure Oxygen)) AND hospitalization with COVID-19 as a primary reason for admission (simple supplementary oxygen (e.g., 2 L/min via nasal cannulae) only does not qualify for case status) Control: Everyone that is not a case, e.g. population",hgi_a2,,,diagnosis,
hhgi_a1,"COVID-19 HGI phenotype A1 Case: Hospitalized laboratory confirmed SARS-CoV-2 infection (RNA and/or serology based) AND (death or respiratory support (intubation, CPAP, BiPAP, CNP (continued external negative pressure), Optiflow/very high flow Positive End Expiratory Pressure Oxygen)) AND hospitalization with COVID-19 as a primary reason for admission (simple supplementary oxygen (e.g., 2 L/min via nasal cannulae) only does not qualify for case status). Control: Laboratory confirmed SARS-CoV-2 infection (RNA and/or serology based) AND not hospitalized 21 days after the test.",hhgi_a1,,,diagnosis,
hgi_b1,"COVID-19 HGI phenotype B1 Case: Hospitalized laboratory confirmed SARS-CoV-2 infection (RNA and/or serology based), hospitalization due to corona-related symptoms. Control: Laboratory confirmed SARS-CoV-2 infection (RNA and/or serology based) AND not hospitalized 21 days after the test.",hgi_b1,,,diagnosis,
hgi_c2,"COVID-19 HGI phenotype C2 Case: Individuals with laboratory confirmation of SARS-CoV-2 infection (RNA and/or serology based) OR EHR/ICD coding/Physician confirmed COVID-19 OR self-reported COVID-19 positive (e.g., by questionnaire). Control: Everybody that is not a case, e.g. population",hgi_c2,,,diagnosis,
est_infection_time,"Estimated time of COVID-19 infection (estimated by (1) first date of PCR test. or (2) date of symptom onset, or (3) date of enrollment (only for studies of prospective recruitment)",est_infection_time,,,diagnosis,
covid19_test_date,COVID-19 test date,age_at_sociodem_collection | covid19_test_date | sociodem_date_collection,,,"diagnosis, sociodemographic",
covid19_diagnosis_date,COVID-19 diagnosis date (by lab confirmed test) - First positive test,age_at_diagnosis | age_at_sociodem_collection | diagnosis_date | sociodem_date_collection,,,"diagnosis, sociodemographic",
pcr,PCR,pcr,,,diagnosis,
serology___0,Serology (choice=Negative),serology_result,,,diagnosis,
serology___1,Serology (choice=IgM Positive),serology_result,,,diagnosis,
serology___2,Serology (choice=IgG Positive),serology_result,,,diagnosis,
serology___3,Serology (choice=Ab Positive),serology_result,,,diagnosis,
serology___4,Serology (choice=Ab Negative),serology_result,,,diagnosis,
serology___5,Serology (choice=Not administered),serology_result,,,diagnosis,
serology___6,Serology (choice=Equivocal),serology_result,,,diagnosis,
serology_date,serology positive test date (First positive test),serology_date,,,diagnosis,
negative_test_date,"If tests are all negative, date of last negative test",negative_test_date,,,diagnosis,
serology_kit,Commercial serology test kit name (if known),serology_kit,,,diagnosis,
covid19_vaccine,COVID-19 vaccination status,"exposure_amount | exposure_code, exposure_term",snomedct:28531000087107,COVID-19 vaccine,exposure,Confirmed | Term mismatch | Confirmed | Term mismatch
covid19_vaccine_1_date,Date of first dose of COVID-19 vaccine received or scheduled,age_at_exposure,,,exposure,
covid19_vaccine_1_name,Name of the first dose of COVID-19 vaccine,"exposure_code, exposure_term",snomedct:28531000087107,COVID-19 vaccine,exposure,Confirmed. do we need to mention the dose in the extension/ comments column | Term mismatch
covid19_vaccine_1_desc,Please specify the name of the first dose of COVID-19 vaccine,exposure_note,,,exposure,
covid19_vaccine_2_date,Date of second dose of COVID-19 vaccine received or scheduled,age_at_exposure,,,exposure,
covid19_vaccine_2_name,Name of second dose of COVID-19 vaccine,"exposure_code, exposure_term",snomedct:28531000087107,COVID-19 vaccine,exposure,Confirmed. do we need to mention the dose in the extension/ comments column | Term mismatch
covid19_vaccine_2_desc,Please specify the name of the second dose of COVID-19 vaccine,exposure_note,,,exposure,
covid19_vaccine_3_date,Date of third dose of COVID-19 vaccine received or scheduled,age_at_exposure,,,exposure,
covid19_vaccine_3_name,Name of third dose of COVID-19 vaccine,"exposure_code, exposure_term",snomedct:28531000087107,COVID-19 vaccine,exposure,Confirmed. do we need to mention the dose in the extension/ comments column | Term mismatch
covid19_vaccine_3_desc,Please specify the name of the third dose of COVID-19 vaccine,exposure_note,,,exposure,
covid19_vaccine_4_date,Date of fourth dose of COVID-19 vaccine received or scheduled,age_at_exposure,,,exposure,
covid19_vaccine_4_name,Name of fourth dose of COVID-19 vaccine,"exposure_code, exposure_term",snomedct:28531000087107,COVID-19 vaccine,exposure,Confirmed. do we need to mention the dose in the extension/ comments column | Term mismatch
covid19_vaccine_4_desc,Please specify the name of the fourth dose of COVID-19 vaccine,exposure_note,,,exposure,
heart_rate,Heart rate,"measurement_code, measurement_term | measurement_result_numeric",LOINC:8867-4,Heart rate,measurement,Confirmed | Match | Confirmed | Match
respiratory_rate,Highest respiratory rate,"measurement_code, measurement_term | measurement_result_numeric",LOINC:103219-2,Maximum respiratory rate,measurement,Confirmed | Match | Confirmed | Match
bp_sys,Systolyc blood pressure,"measurement_code, measurement_term | measurement_result_numeric",LOINC:8480-6,Systolic blood pressure,measurement,Confirmed | Match | Confirmed | Match
bp_dia,Diastolic blood pressure,"measurement_code, measurement_term | measurement_result_numeric",LOINC:8462-4,Diastolic blood pressure,measurement,Confirmed | Match | Confirmed | Match
oxygen_sat,Oxygen saturation,"measurement_code, measurement_term | measurement_result_numeric",LOINC:20564-1,Oxygen saturation in Blood,measurement,I think 20564-1 might fit this better | Term mismatch | I think 20564-1 might fit this better | Term mismatch
oxygen_sat_on,,measurement_note,,,measurement,
influenza,Influenza,"comorbidity_code, comorbidity_term",MONDO:0005812,influenza,comorbidity,Confirmed | Term mismatch
influenza_type,Specify influenza type,comorbidity_note,,,comorbidity,
influenza_type_other,Specify other influenza type,comorbidity_note,,,comorbidity,
coronavirus,Coronavirus,"comorbidity_code, comorbidity_term",MONDO:0020753,Orthocoronavirinae infectious disease,comorbidity,Confirmed | Match
coronavirus_type,Specify coronavirus type,comorbidity_note,,,comorbidity,
coronavirus_type_other,Specify other coronavirus type,comorbidity_note,,,comorbidity,
rsv,RSV,"comorbidity_code, comorbidity_term",MONDO:0001577,respiratory syncytial virus infectious disease,comorbidity,Confirmed | Term mismatch
adenovirus,Adenovirus,"comorbidity_code, comorbidity_term",MONDO:0043479,adenoviridae infectious disease,comorbidity,Confirmed | Match
enterovirus,Enterovirus,"comorbidity_code, comorbidity_term",MONDO:0005747,enterovirus infectious disease,comorbidity,Confirmed | Match
bacteria,Bacteria,"comorbidity_code, comorbidity_term",MONDO:0005113,bacterial infectious disease,comorbidity,Confirmed | Match
bacteria_type___1,Specify bacteria type (choice=Streptococcus pneumoniae),"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0005114,pneumococcal infection,comorbidity,Confirmed | Match
bacteria_type___2,Specify bacteria type (choice=Staphylococcus aureus),"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0005545,staphylococcus aureus infection,comorbidity,Confirmed | Match
bacteria_type___3,Specify bacteria type (choice=Group A streptococcus),"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0011825,"streptococcus, group A, severity of infection by",comorbidity,need to mention in extension that this variable is presence and not severity | Match
bacteria_type___4,Specify bacteria type (choice=Escherichia coli),"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0020920,escherichia coli infection,comorbidity,This looks okay but need to confirm to mention in the extension that this is not related to recurrent e.coli infections | Match
bacteria_type___5,Specify bacteria type (choice=Klebsiella pneumoniae),"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0030602,Klebsiella pneumonia,comorbidity,Confirmed | Match
bacteria_type___6,Specify bacteria type (choice=Other),"comorbidity_code, comorbidity_term, comorbidity_source_text",MONDO:0005113,bacterial infectious disease,comorbidity,"Confirmed, extension must mention ' bacterial type= Other') | Match"
bacteria_type_other,Specify other bacteria type,comorbidity_note,,,comorbidity,
bacteria_location___1,Specify location(s) (choice=Blood),comorbidity_note,,,comorbidity,
bacteria_location___2,Specify location(s) (choice=Lower respiratory tract),comorbidity_note,,,comorbidity,
bacteria_location___3,Specify location(s) (choice=Urine),comorbidity_note,,,comorbidity,
bacteria_location___4,Specify location(s) (choice=Bone or joint),comorbidity_note,,,comorbidity,
bacteria_location___5,Specify location(s) (choice=CNS),comorbidity_note,,,comorbidity,
bacteria_location___6,Specify location(s) (choice=Other),comorbidity_note,,,comorbidity,
bacteria_location_other,Specify other location(s),comorbidity_note,,,comorbidity,
other_infect_respiratory,Other infectious respiratory diagnosis,"comorbidity_code, comorbidity_term",MONDO:0024355,respiratory tract infectious disorder,comorbidity,Confirmed | Match
other_infect_respiratory_type,Specify other infectious respiratory diagnosis,comorbidity_note,,,comorbidity,
pneumonia,Physician diagnosis of pneumonia,"comorbidity_code, comorbidity_term",MONDO:0005249,pneumonia,comorbidity,Confirmed | Term mismatch
non_infective,NONE OF THE ABOVE: Suspected Non-infective,,,,,
abo_type,ABO blood type,"measurement_code, measurement_term | measurement_result_categorical",LOINC:883-9,ABO group [Type] in Blood,measurement,Confirmed | Match | Confirmed | Match
rh_factor,Rh factor,"measurement_code, measurement_term | measurement_result_categorical",LOINC:10331-7,Rh [Type] in Blood,measurement,Confirmed | Match | Confirmed | Match
home_meds___1,Home medications (choice=ACE inhibitor),"medication_code, medication_term | treatment_code, treatment_term",NCIT:C247,ACE Inhibitor,"medication, treatment",Need to verify | Need to verify
home_meds___2,Home medications (choice=Angiotensin receptor blocker),"medication_code, medication_term | treatment_code, treatment_term",NCIT:C66930,Angiotensin II Receptor Antagonist,"medication, treatment",Need to verify | Need to verify
home_meds___3,Home medications (choice=Steroids),"medication_code, medication_term | treatment_code, treatment_term",NCIT:C843,Steroid Compound,"medication, treatment",Need to verify | Need to verify
home_meds___4,Home medications (choice=Other immunosuppressive medication),"medication_code, medication_term | treatment_code, treatment_term",NCIT:C574,Immunosuppressant,"medication, treatment",Need to verify | Need to verify
home_meds___5,Home medications (choice=NSAIDs),"medication_code, medication_term | treatment_code, treatment_term",NCIT:C257,Nonsteroidal Antiinflammatory Drug,"medication, treatment",Need to verify | Need to verify
home_meds___6,Home medications (choice=Other),"treatment_code, treatment_term",,,treatment,
home_meds___7,Home medications (choice=ACE inhibitor or Angiotensin receptor blocker),"treatment_code, treatment_term",,,treatment,
home_meds___0,Home medications (choice=None),,,,,
home_meds_other,Specify other home medications,treatment_note,,,treatment,
bcg,Has the patient received BCG vaccine?,"exposure_code, exposure_term",snomedct:151071000119107,Bacillus Calmette-Guerin vaccination given,exposure,Confirmed | Match
first_symptom_date,Onset date of first/earliest symptom,age_at_comorbidity_diagnosis | age_at_phenotype,,,"comorbidity, phenotype",
first_symptom_none___0,(choice=Asymptomatic),,,,,
